cohort_key,drug_key,drug,cohort,patient_count,label,label_bin,best_available_primary_orr,strict_primary_orr,full_marker_score_coverage_weighted_mean,full_marker_score_mean_tanh_mean,full_marker_score_strict_coverage_mean,full_marker_baseline_score_mean,full_marker_delta_score_mean,full_marker_gene_ordinal_score_mean,full_marker_term_coverage_mean,full_marker_baseline_coverage_mean,full_marker_delta_coverage_mean
nsclc,vandetanib,Vandetanib,nsclc,15,failure,0.0,9.054726368159203,9.054726368159203,0.04104053190679021,0.04653558904250501,0.03619434703305945,0.010830427594453984,0.08224075049055603,1.65,0.7777777777777778,0.7727272727272727,0.8
nsclc,volasertib,Volasertib,nsclc,15,failure,0.0,8.1,8.1,0.05599490677422505,0.05816324869908931,0.05390740123330229,-0.00466419342235338,0.12099069082053197,1.7,0.926829268292683,0.9629629629629629,0.8571428571428571
ovarian,altretamine,Altretamine,,6,,,45.6140350877193,45.6140350877193,0.06197239431619558,0.07027009007652267,0.05465451450396208,0.05486053619453301,0.08567964395851231,1.7083333333333333,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,binimetinib,Binimetinib,ovarian,6,failure,0.0,16.0,,-0.17467659232278857,-0.1921860356702847,-0.15876237729284387,0.017144738136361967,-0.4912299982512085,1.1666666666666667,0.8260869565217391,0.9,0.3333333333333333
ovarian,bortezomib,Bortezomib,ovarian,6,failure,0.0,3.8461538461538463,3.8461538461538463,0.012628001393455981,0.014318807675512127,0.01113685041428721,0.05486053619453301,-0.02622292084350875,1.5833333333333333,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,docetaxel,Docetaxel,,6,,,34.78260869565217,34.78260869565217,0.026290717041137685,0.02981087103446495,0.023186233026806075,0.05486053619453301,0.004761205874396888,1.625,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,gemcitabine,Gemcitabine,ovarian,6,success,1.0,11.11111111111111,11.11111111111111,0.047978573659585806,0.05440258892693922,0.04231312472095272,0.05486053619453301,0.053944641659345434,1.7083333333333333,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,olaparib,olaparib,ovarian,6,success,1.0,69.3,,0.04120231027742704,0.04671902847231114,0.03633702214513088,0.05486053619453301,0.03857752075008928,1.625,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,paclitaxel,Paclitaxel,,6,,,30.0,30.0,0.001371083411653452,0.0015546624574118706,0.0012091819113203468,0.05486053619453301,-0.051751211279709254,1.5,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,pemetrexed,Pemetrexed,ovarian,6,success,1.0,20.833333333333332,20.833333333333332,0.05430527282862707,0.06157639147888302,0.04789274892802012,0.05486053619453301,0.068292246763233,1.625,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,rucaparib,Rucaparib (phosphate),ovarian,6,success,1.0,59.3,,0.06494479822489987,0.07364047930729463,0.05727592835011804,0.05486053619453301,0.09242042242005626,1.7916666666666667,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,temsirolimus,Temsirolimus,ovarian,6,failure,0.0,9.25925925925926,9.25925925925926,0.03585144023510536,0.0406517121452502,0.031617998335194596,0.05486053619453301,0.026442888095967388,1.5833333333333333,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,topotecan,Topotecan (hydrochloride),,6,,,26.666666666666668,26.666666666666668,0.06316403652869962,0.07162128533911659,0.05570544415264624,0.05486053619453301,0.08838203448370018,1.7916666666666667,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,trametinib,Trametinib,ovarian,6,success,1.0,25.999999999999996,,-0.16819510270416962,-0.18505484666278094,-0.15287139506925382,0.017144738136361967,-0.4739113963758422,1.2083333333333333,0.8260869565217391,0.9,0.3333333333333333
