analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean,shuffle_iter
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.5508586160165474,-0.39440531887330776,0.26666666666666666,-0.025584820426259765,0.04282938998931755,7
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.030617078508679674,0.0979020979020979,,,,7
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.2541880480887535,-0.19143719452077065,0.3894736842105263,-0.012035777752995431,0.03512514077353107,8
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.11084641981328065,-0.05484615187359251,,,,8
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.32115256965740185,-0.34641016151377546,0.3,0.010364033212623289,0.026503996714525108,8
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.14517988475473478,-0.1422606594884729,,,,8
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.1219741653742259,0.05634361698190111,0.5333333333333333,-0.004396115938041087,-0.015546558727560991,8
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,0.2215987373340888,0.2613993837824278,,,,8
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,-0.29984506557034424,-0.19491172578304186,0.3877551020408163,-0.015474411373762015,0.023033374089522395,8
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.005459982284968766,0.064018283979708,,,,8
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.5326968731214148,-0.39440531887330776,0.26666666666666666,-0.0297253365453898,0.1621606689697147,8
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.4083030785162327,-0.43356643356643365,,,,8
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.21830044225776837,-0.21878536516659505,0.3736842105263158,-0.006519514328022361,0.015676993812568263,9
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.06330788932342084,-0.18123650185906745,,,,9
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.7816220553287698,-0.7794228634059946,0.05,0.008962789440688077,0.06001494332797343,9
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.7212652610668809,-0.6694619270045785,,,,9
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,-0.522928424555134,-0.50709255283711,0.2,-0.04199268364189845,0.028296756946277358,9
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.28641542532941644,-0.5288778230016562,,,,9
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.3164467813957508,0.3721042037676254,0.7142857142857143,0.007181035904654049,-0.023065680652977618,9
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.256437641608525,0.09050860838510442,,,,9
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.34158116138747063,-0.2817180849095055,0.3333333333333333,-0.016802226080412035,0.011147046483651583,9
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,0.02344950202782406,0.055944055944055944,,,,9
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.11472469278079886,-0.08204451193747314,0.45263157894736844,0.010141684025923591,0.023823113214184215,10
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.14036853796355375,-0.183876509169469,,,,10
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.49520121216332136,-0.606217782649107,0.15,-0.004096888232410718,0.07284945292014228,10
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.4809122921843476,-0.6945667492672501,,,,10
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.6537632128988583,0.6197797868009122,0.8666666666666667,0.05680721892502405,-0.021048206701099872,10
