analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean
real,crc,full_marker_gene_ordinal_score_mean,best_available_primary_orr,10,-0.5115132260352442,-0.5410359338752574,,,
real,crc,full_marker_gene_ordinal_score_from_cohort_mean,label_bin,8,-0.24845199749997665,-0.24343224778007383,0.36666666666666664,1.5833333333333333,1.75
real,crc,full_marker_gene_ordinal_score_from_cohort_mean,best_available_primary_orr,10,-0.46548080058965635,-0.4784670825970371,,,
real,crc,full_marker_prior_adjusted_ordinal_score,label_bin,8,0.5788287614163062,0.570265948512201,0.8333333333333334,2.5833333333333335,1.65
real,crc,full_marker_prior_adjusted_ordinal_score,best_available_primary_orr,10,0.5906105353595963,0.5490900879832649,,,
real,crc,full_marker_delta_ordinal_score_from_cohort_mean,label_bin,8,-0.2480959031354612,-0.2961744388795462,0.3333333333333333,1.5833333333333333,1.9
real,crc,full_marker_delta_ordinal_score_from_cohort_mean,best_available_primary_orr,10,-0.5610221635056528,-0.6216372952367548,,,
real,crc,full_marker_delta_prior_adjusted_ordinal_score,label_bin,8,0.5753559617824611,0.5196152422706631,0.8,2.5,1.7
real,crc,full_marker_delta_prior_adjusted_ordinal_score,best_available_primary_orr,10,0.43757122318945446,0.41978507857607567,,,
real,crc,predicted_orr_soft_probability_pct,label_bin,8,0.36514515338115655,0.2817180849095055,0.6666666666666666,15.851598308397122,10.338235255804836
real,crc,predicted_orr_soft_probability_pct,best_available_primary_orr,10,0.7765303326007928,0.5957474328064633,,,
real,crc,atlas_prior_score,label_bin,8,0.579420868552533,0.5847053462046862,0.8333333333333334,2.6666666666666665,1.7
real,crc,atlas_prior_score,best_available_primary_orr,10,0.6676494490844116,0.6460251887141759,,,
real,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.005234557775131987,0.12403473458920845,0.5714285714285714,0.015455560616591283,0.014559845011319541
real,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.21070925263919982,0.37748712277689894,,,
real,nsclc,full_marker_score_mean_tanh_mean,label_bin,14,-0.01566143252996094,0.12403473458920845,0.5714285714285714,0.015918216674867154,0.018809644918241115
