label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,shuffle_iter
grid_covgate90_magm0005_tailm0020:gene_shuffle_0016,expected_orr_pct,44,-0.3491705431715374,-0.3876852984978982,-0.37309993337796304,-0.40636356236380516,0.30434782608695654,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,16
signed_mag_tail_soft_primary:gene_shuffle_0017,expected_orr_pct,44,0.08982111732750188,0.23797804297594113,0.2527653024279584,0.4741571727917483,0.7018633540372671,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,17
signed_mag_tail_hard_reference:gene_shuffle_0017,expected_orr_pct,44,0.12773587669691838,0.16574599599327083,0.32857379434890316,0.4535686487758811,0.6759834368530021,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,17
grid_covgate90_magm0005_tailm0020:gene_shuffle_0017,expected_orr_pct,44,0.16620270878763566,0.27646410630587825,0.31031336002880444,0.5254805993516657,0.7122153209109731,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,17
signed_mag_tail_soft_primary:gene_shuffle_0018,expected_orr_pct,44,-0.13114196683139379,-0.021467455508808932,0.18681516604698245,0.3925540607283442,0.5962732919254659,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,18
signed_mag_tail_hard_reference:gene_shuffle_0018,expected_orr_pct,44,-0.09044621313725557,-0.05211599460162198,0.190835312167597,0.29689960721228015,0.5942028985507246,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,18
grid_covgate90_magm0005_tailm0020:gene_shuffle_0018,expected_orr_pct,44,-0.07793037103910222,-0.00727351288620829,0.212533715511107,0.35232719684524216,0.6045548654244306,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,18
signed_mag_tail_soft_primary:gene_shuffle_0019,expected_orr_pct,44,0.11192267534381586,0.12400280221535688,-0.043681131063131144,-0.047217925061222896,0.42028985507246375,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,19
signed_mag_tail_hard_reference:gene_shuffle_0019,expected_orr_pct,44,0.12741981934248858,0.10804980515937855,0.04834080945232151,-0.007441607881153864,0.4337474120082816,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,19
grid_covgate90_magm0005_tailm0020:gene_shuffle_0019,expected_orr_pct,44,0.15470093963034562,0.13678441223869375,-0.00420474986566665,-0.040282040060863014,0.41821946169772256,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,19
