label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,random_iter
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0007,expected_orr_pct,44,0.4392942350845636,0.4435432887088233,0.1007613623237614,0.1240808853243024,0.5248447204968945,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,7.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0008,expected_orr_pct,44,0.3493945496917162,0.3185168618189627,-0.0846934334692053,-0.1256229852693367,0.4109730848861284,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,8.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0009,expected_orr_pct,44,0.3926431496288526,0.3851112307292245,0.1265352582573036,-0.0128390182091119,0.4099378881987577,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,9.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0010,expected_orr_pct,44,0.2927299058336866,0.2712780270017648,-0.1739864478185939,-0.2827828505280261,0.391304347826087,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,10.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0011,expected_orr_pct,44,0.22255379789403,0.2627649425653752,-0.2248152685197124,-0.2501704308496797,0.4182194616977225,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,11.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0012,expected_orr_pct,44,0.2596140827874321,0.2060177244134866,-0.1919435563759688,-0.3016379756391659,0.3892339544513457,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,12.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0013,expected_orr_pct,44,0.3714774779483483,0.3528933111246976,-0.0134160212583063,-0.0597106904019908,0.4875776397515527,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,13.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0014,expected_orr_pct,44,0.2626283110575212,0.2753130976961777,-0.1421653709114235,-0.2408673634632742,0.432712215320911,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,14.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0015,expected_orr_pct,44,0.3268989266402708,0.3767295331500546,-0.1432205437166745,-0.0604885785018089,0.468944099378882,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,15.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0016,expected_orr_pct,44,0.3265221350345344,0.3095741066199597,-0.1352294501998628,-0.2564171501975559,0.4503105590062112,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,16.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0017,expected_orr_pct,44,0.392060699844342,0.386561136896545,0.0931567533056707,-0.0152220114557658,0.4855072463768116,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,17.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0018,expected_orr_pct,44,0.3909285597293755,0.3487804646233988,-0.007172931784257,0.0607620673209281,0.4803312629399586,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,18.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0019,expected_orr_pct,44,0.2493191310048138,0.3200354375296105,-0.2272158576503151,-0.2359249832704026,0.3840579710144927,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,19.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0000,expected_orr_pct,44,0.3920473549258183,0.4138840682142407,-0.1615898321160857,-0.2455608500551864,0.4306418219461698,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,0.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0001,expected_orr_pct,44,0.2894424412343865,0.3483518356084029,-0.2682021780392221,-0.3731795286447306,0.4120082815734989,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,1.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0002,expected_orr_pct,44,0.436326386513726,0.3531537664458996,-0.1129056719345485,-0.1701526513066802,0.422360248447205,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,2.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0003,expected_orr_pct,44,0.325028759936629,0.3309801446374588,-0.0934510573457588,-0.0592149386041785,0.4182194616977225,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,3.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0004,expected_orr_pct,44,0.3924819399734403,0.446085251477454,-0.1055998097155604,-0.0731973201209514,0.474120082815735,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,4.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0005,expected_orr_pct,44,0.4932267748722283,0.5398641360685668,0.224965841040046,0.1576549642843017,0.5279503105590062,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,5.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0006,expected_orr_pct,44,0.3006041372229634,0.3405840063124522,-0.2753226222237163,-0.2527445060347901,0.4409937888198758,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,6.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0007,expected_orr_pct,44,0.4648552564830911,0.4869722802261395,0.0204538962351344,-0.0317232307523254,0.5113871635610766,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,7.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0008,expected_orr_pct,44,0.27274776952637,0.2310576132395487,-0.3463324565626718,-0.3660816693851388,0.3768115942028985,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,8.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0009,expected_orr_pct,44,0.4297874705550173,0.4382468055515403,0.0357608433064891,0.0625488982019421,0.525879917184265,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,9.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0010,expected_orr_pct,44,0.3726058993395243,0.4367638563223133,-0.1188897729788551,-0.0861256237657484,0.4927536231884058,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,10.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0011,expected_orr_pct,44,0.4359615026979383,0.388744547947346,0.0363549107839713,0.06484544125088,0.5031055900621118,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,11.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0012,expected_orr_pct,44,0.3248878827035332,0.3044989084012635,-0.1396476928135799,-0.118500414240455,0.4078674948240166,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,12.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0013,expected_orr_pct,44,0.3081061387264132,0.2622701636832776,-0.2278675144233481,-0.3129072896920279,0.3975155279503105,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,13.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0014,expected_orr_pct,44,0.4992964506388304,0.5200208630489112,0.1299303825968892,0.1238616537291243,0.5693581780538303,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,14.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0015,expected_orr_pct,44,0.3894440614799755,0.3718671733861442,-0.180561873157318,-0.1479596919866387,0.463768115942029,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,15.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0016,expected_orr_pct,44,0.4223176225256121,0.3439736045506852,-0.0552031016741716,-0.1194597358965172,0.4596273291925465,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,16.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0017,expected_orr_pct,44,0.3357693580497602,0.3670652425486475,-0.150218747890003,-0.2391173042442011,0.4430641821946169,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,17.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0018,expected_orr_pct,44,0.3227994911372455,0.2882570835097305,-0.2702335072784672,-0.3478712572472088,0.4057971014492754,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,18.0
grid_covgate90_magm0005_tailm0020:random_same_patient_wrong_drug_0019,expected_orr_pct,44,0.3534134419519696,0.3869791321982663,-0.1328547455320855,-0.166404837063212,0.4554865424430642,random_same_patient_wrong_drug,grid_covgate90_magm0005_tailm0020,19.0
