label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,variant,shuffle_iter
signed_mag_tail_soft_primary:gene_shuffle_0043:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.2655537259959394,-0.2833195301057619,-0.2862714292021992,-0.30883343205367986,0.427536231884058,signed_mag_tail_soft_primary,43
signed_mag_tail_soft_primary:gene_shuffle_0044:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.08295874748179347,-0.023545195054753217,-0.06128404857923614,0.07267200071655056,0.5186335403726708,signed_mag_tail_soft_primary,44
signed_mag_tail_soft_primary:gene_shuffle_0045:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.05240643865786323,-0.03752478653482948,0.023596007490620647,0.11116957878528261,0.505175983436853,signed_mag_tail_soft_primary,45
signed_mag_tail_soft_primary:gene_shuffle_0046:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.10611121441091001,-0.08984384538038614,-0.1486853336923033,-0.059008804078940325,0.5238095238095238,signed_mag_tail_soft_primary,46
signed_mag_tail_soft_primary:gene_shuffle_0047:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.018703446119851197,-0.10277086871921702,-0.1431761017604332,-0.08386168174160887,0.4937888198757764,signed_mag_tail_soft_primary,47
signed_mag_tail_soft_primary:gene_shuffle_0048:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.18178625752383865,0.10600886480061258,0.11166688601917127,0.20352534411344447,0.5973084886128365,signed_mag_tail_soft_primary,48
signed_mag_tail_soft_primary:gene_shuffle_0049:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.050484254106254844,-0.006253691019462961,0.1580725125323229,0.19602673625402164,0.567287784679089,signed_mag_tail_soft_primary,49
signed_mag_tail_soft_primary:gene_shuffle_0050:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.304378041747184,-0.3979647538293842,-0.31194346548217244,-0.44256582031746733,0.36438923395445133,signed_mag_tail_soft_primary,50
signed_mag_tail_soft_primary:gene_shuffle_0051:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.24650542832336952,-0.3913551475133038,-0.27286066695495464,-0.3573318476516487,0.33954451345755693,signed_mag_tail_soft_primary,51
signed_mag_tail_soft_primary:gene_shuffle_0052:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.08803387016724042,0.1519542590415007,0.027367861363295862,0.1845921658769977,0.572463768115942,signed_mag_tail_soft_primary,52
